Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01-04-2024,01-04-2024,BY TRANSFER-SALARY APRIL 2024,NEFT123456,,28000.00,48000.00
01-04-2024,01-04-2024,TO TRANSFER-UPI/RENT/landlord/Rent,UPI001,10000.00,,38000.00
03-04-2024,03-04-2024,TO TRANSFER-UPI/zomato@icici/Food,UPI002,380.00,,37620.00
04-04-2024,04-04-2024,TO TRANSFER-UPI/bigbasket@hdfc/Grocery,UPI003,1450.00,,36170.00
05-04-2024,05-04-2024,TO TRANSFER-UPI/airtel@axis/Recharge,UPI004,239.00,,35931.00
06-04-2024,06-04-2024,TO TRANSFER-UPI/swiggy@axis/Dinner,UPI005,290.00,,35641.00
07-04-2024,07-04-2024,TO TRANSFER-NACH/BAJAJ FINANCE/EMI,NACH001,4500.00,,31141.00
09-04-2024,09-04-2024,TO TRANSFER-UPI/amazon@apl/Shopping,UPI006,899.00,,30242.00
10-04-2024,10-04-2024,TO TRANSFER-UPI/uber@razorpay/Cab,UPI007,155.00,,30087.00
12-04-2024,12-04-2024,TO TRANSFER-UPI/groww@axis/MF SIP,UPI008,1500.00,,28587.00
13-04-2024,13-04-2024,TO TRANSFER-UPI/bescom@ybl/Electricity,UPI009,1100.00,,27487.00
14-04-2024,14-04-2024,TO TRANSFER-UPI/dominos@hdfc/Food,UPI010,420.00,,27067.00
15-04-2024,15-04-2024,TO TRANSFER-UPI/SAVINGS/Transfer,UPI011,2000.00,,25067.00
16-04-2024,16-04-2024,TO TRANSFER-UPI/netflix@icici/OTT,UPI012,199.00,,24868.00
17-04-2024,17-04-2024,TO TRANSFER-UPI/pharmeasy@icici/Med,UPI013,280.00,,24588.00
18-04-2024,18-04-2024,TO TRANSFER-UPI/blinkit@hdfc/Grocery,UPI014,980.00,,23608.00
20-04-2024,20-04-2024,BY TRANSFER-UPI/PRIYA MEHTA/Received,UPI015,,1000.00,24608.00
21-04-2024,21-04-2024,TO TRANSFER-UPI/zomato@icici/Lunch,UPI016,340.00,,24268.00
22-04-2024,22-04-2024,TO TRANSFER-UPI/flipkart@axis/Phone,UPI017,7999.00,,16269.00
24-04-2024,24-04-2024,TO TRANSFER-UPI/irctc@axis/Train,UPI018,1250.00,,15019.00
25-04-2024,25-04-2024,TO TRANSFER-NACH/SBI LIFE/Insurance,NACH002,800.00,,14219.00
26-04-2024,26-04-2024,TO TRANSFER-UPI/swiggy@axis/Food,UPI019,455.00,,13764.00
27-04-2024,27-04-2024,TO TRANSFER-UPI/jio@hdfc/Recharge,UPI020,299.00,,13465.00
28-04-2024,28-04-2024,TO TRANSFER-UPI/bookmyshow@icici/Movie,UPI021,400.00,,13065.00
29-04-2024,29-04-2024,TO TRANSFER-UPI/gym@kotak/Membership,UPI022,1200.00,,11865.00
30-04-2024,30-04-2024,TO TRANSFER-UPI/unacademy@axis/Course,UPI023,999.00,,10866.00
